Type,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Coal,MN,"131,265","130,948","131,206","138,716","156,354","159,987","171,398","161,175","150,563","191,156","179,727","155,594","161,572","180,736","188,665","191,490","222,441","264,929","255,741","229,460","242,420","244,190","212,528","211,168","231,376","226,094","201,382","255,980","303,592","324,899","325,469","301,476","300,773","325,850","332,848","337,972","354,571","341,636","357,030","341,475","373,775","353,305","360,822","390,691","378,775","379,114","370,814","366,208","359,359","328,678","315,438","315,604","257,875","267,695","313,073","271,570","261,250","257,594"
Coal,MO,"170,906","158,523","180,520","180,670","183,420","189,620","190,661","188,991","212,261","244,510","279,245","294,143","334,355","383,451","382,005","430,226","468,324","503,909","485,655","512,505","531,438","536,042","523,817","564,360","593,295","529,684","512,338","528,040","547,281","550,407","539,572","533,887","522,331","467,752","539,958","593,728","631,084","670,589","695,687","687,170","688,905","716,378","725,679","795,634","807,466","835,663","829,054","802,879","792,918","765,617","801,625","825,650","768,297","806,549","780,707","696,401","639,860","709,796"
Coal,MS,753,655,708,763,729,"1,020",898,962,"7,317","14,757","13,225","13,498","13,952","29,485","34,581","33,355","42,531","38,658","40,994","59,765","74,997","82,948","100,518","96,091","103,950","109,381","108,771","122,372","129,622","95,648","103,944","95,302","86,785","99,325","97,270","103,786","127,780","132,171","125,930","137,608","147,481","198,275","154,339","178,949","184,992","176,286","190,057","185,063","177,166","141,675","148,463","107,546","82,456","97,767","116,537","71,626","61,219","53,779"
Coal,MT,"3,999","5,149","5,670","5,372","5,811","5,537","5,805","5,484","6,719","9,648","12,023","11,475","13,182","15,243","14,717","18,630","42,179","57,814","57,597","63,407","60,228","62,539","48,650","42,786","90,265","99,055","133,247","132,937","181,480","179,360","168,848","184,213","194,093","161,903","193,689","175,304","138,751","162,568","186,099","186,770","176,779","184,401","166,322","188,981","195,620","199,495","194,307","202,480","203,260","172,812","203,339","165,687","157,308","166,104","175,357","178,421","161,938","156,073"
Coal,NC,"231,342","244,241","260,487","282,911","295,013","325,866","380,312","405,418","446,588","472,767","491,383","484,598","492,784","531,706","522,825","476,522","544,481","548,103","499,873","558,638","624,696","655,284","622,104","594,999","558,943","550,505","583,153","500,936","515,435","591,439","568,294","567,411","649,160","689,419","632,792","662,870","744,253","765,927","754,322","742,398","786,114","756,311","770,928","771,618","782,692","811,939","777,871","827,974","794,693","678,673","749,091","624,783","534,713","493,771","501,592","405,525","381,761","350,286"
Coal,ND,"30,531","30,011","28,384","24,937","26,502","24,746","36,034","44,028","48,467","49,996","57,471","67,672","72,820","71,095","76,484","67,943","91,487","107,264","129,778","148,077","163,322","172,400","198,916","213,444","256,659","301,957","310,868","319,324","369,782","363,811","374,517","378,936","399,188","399,919","402,452","399,757","403,951","385,988","409,226","411,323","424,563","420,001","422,809","420,832","398,381","431,133","414,838","420,719","424,615","423,267","409,684","394,771","406,344","393,193","399,195","408,091","394,579","397,875"
Coal,NE,"20,010","18,164","23,047","24,513","23,650","20,815","19,748","18,303","17,192","27,082","29,716","26,322","33,509","36,867","32,763","32,886","53,712","59,344","59,813","77,604","93,942","98,584","96,746","104,815","124,257","115,478","109,935","116,462","139,344","131,097","142,021","152,008","140,933","166,207","160,506","179,482","178,884","193,334","204,797","198,490","206,938","226,691","217,939","227,290","223,624","228,667","227,444","216,872","234,654","249,593","254,552","285,384","272,587","292,956","276,544","266,319","240,465","233,809"
Coal,NH,"5,390","12,308","12,330","11,520","11,755","11,171","9,655","10,247","22,297","26,956","27,149","25,496","30,649","28,325","25,275","26,187","20,331","26,470","20,409","29,080","29,275","24,226","27,624","29,383","34,056","39,719","25,052","31,550","32,754","31,544","31,544","34,784","34,679","37,485","33,580","35,576","36,142","44,527","38,623","35,408","44,033","40,125","39,845","41,633","43,446","44,169","44,807","44,899","40,241","32,844","33,827","24,489","14,191","16,778","14,867","10,989","5,277","3,617"
Coal,NJ,"168,775","193,959","195,944","193,035","206,555","236,647","236,575","198,642","188,734","141,206","123,291","91,498","31,985","66,132","82,477","60,498","70,596","71,011","60,820","59,195","68,692","75,464","78,375","91,632","84,013","103,310","77,882","90,538","81,127","94,831","80,800","61,891","62,741","63,133","65,071","79,902","86,606","99,889","86,235","88,984","114,734","112,207","104,849","106,857","112,707","125,332","116,093","111,799","97,671","59,563","71,961","49,592","25,589","25,910","30,731","22,925","17,455","16,488"
Coal,NM,"4,064","3,303","2,451","15,765","31,271","44,277","37,029","44,143","42,971","50,226","99,380","120,695","123,807","134,490","140,947","132,535","137,492","153,922","145,738","152,939","202,870","196,933","225,549","263,654","252,868","268,374","241,600","260,668","266,124","279,835","275,661","234,301","267,469","270,273","278,385","275,217","279,149","288,506","290,367","298,105","305,513","297,096","284,132","305,641","309,418","317,916","316,221","296,067","284,346","306,162","267,474","284,737","263,439","256,377","215,348","215,703","197,083","199,114"
Coal,NV,"3,962","3,740","4,218","3,387","3,234","7,892","10,862","9,379","14,582","16,679","17,290","36,438","84,363","90,083","100,463","101,298","111,294","115,938","91,272","99,307","93,216","112,197","146,479","140,246","155,582","126,210","161,583","154,875","183,513","170,222","165,306","180,259","178,836","172,371","180,270","162,497","169,470","166,666","184,243","181,616","199,339","188,572","164,775","182,553","193,634","197,799","84,225","82,871","88,619","83,812","80,228","62,701","52,850","64,838","79,230","36,635","30,765","27,297"
Coal,NY,"691,728","634,013","620,891","643,946","739,638","755,238","731,385","726,567","700,146","656,531","598,940","435,654","355,384","369,320","374,196","312,508","363,821","336,851","297,344","315,174","313,708","308,653","288,982","268,018","299,885","301,368","253,341","294,305","332,998","363,802","349,779","352,268","355,983","326,194","316,750","305,274","311,795","325,232","337,438","317,998","330,844","306,993","280,584","286,179","276,470","256,879","256,345","258,450","228,985","155,965","167,094","125,181","72,914","68,707","64,655","41,241","29,679","19,553"
