Type,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
NaturalGas,WI,"93,792","117,658","141,294","156,163","173,946","204,093","229,393","253,737","278,560","324,186","344,241","354,746","326,921","373,480","386,865","372,097","320,512","354,397","375,286","372,258","354,670","327,529","315,738","301,789","307,510","311,434","281,636","281,599","319,681","332,744","311,236","333,844","334,867","352,381","360,440","385,340","408,079","404,955","372,061","385,142","397,553","363,022","388,007","397,869","385,999","415,583","376,559","403,947","415,109","392,485","376,627","399,247","410,305","454,050","479,396","476,969","501,042","504,479"
NaturalGas,WV,"155,554","168,291","159,207","163,925","172,374","176,111","179,195","157,423","189,957","176,295","186,535","183,553","204,916","191,905","186,565","164,297","157,204","150,605","156,607","152,059","147,624","154,468","136,141","120,214","130,959","125,018","121,128","123,734","131,544","139,427","129,005","118,823","137,666","144,246","155,098","157,816","164,286","170,349","151,873","147,675","157,926","150,543","155,536","135,367","129,358","124,984","126,316","124,555","119,617","118,643","121,780","124,935","140,133","152,880","180,222","191,059","188,491","202,872"
NaturalGas,WY,"52,828","59,326","61,189","55,041","55,437","54,805","62,891","69,619","75,649","96,068","112,526","117,938","128,728","110,445","95,363","81,434","82,478","78,354","79,758","87,157","72,982","72,895","90,586","85,247","89,666","86,031","78,424","86,042","86,422","86,716","101,316","103,129","130,703","110,499","112,252","103,848","107,588","107,907","116,505","101,660","105,975","103,990","117,387","120,433","111,878","112,863","112,929","145,985","147,129","147,220","154,759","161,776","158,546","156,110","142,268","126,421","132,478","133,992"
NaturalGas,US,"12,385,366","12,926,392","13,730,841","14,419,107","15,297,642","15,779,457","17,005,781","17,964,988","19,204,569","20,657,964","21,692,710","22,365,248","22,682,497","22,595,346","21,729,561","19,977,076","20,381,227","19,972,477","20,067,662","20,687,615","20,226,934","19,749,623","18,367,053","17,212,020","18,389,567","17,713,531","16,603,236","17,646,792","18,460,278","19,607,316","19,627,801","20,033,047","20,723,809","21,255,357","21,757,307","22,720,621","23,151,345","23,372,324","22,911,552","22,925,260","23,815,293","22,747,645","23,513,541","22,822,564","22,927,283","22,567,132","22,225,318","23,670,821","23,836,273","23,421,003","24,568,039","24,953,771","26,075,691","26,788,768","27,376,838","28,179,686","28,392,790","28,042,043"
Petroleum,AK,"45,410","51,008","53,752","55,429","58,130","61,705","65,655","76,363","80,412","92,045","95,999","109,703","117,919","112,132","117,486","123,119","141,170","154,922","163,486","127,623","129,309","135,710","149,249","175,955","200,815","237,018","273,084","231,366","215,477","231,924","226,509","204,675","212,539","213,456","219,277","235,221","242,048","256,040","258,658","275,510","275,255","289,334","277,400","285,417","334,121","333,091","342,272","323,089","278,725","265,386","289,080","284,438","270,628","252,206","237,961","245,552","233,260","224,170"
Petroleum,AL,"236,010","232,362","239,387","251,791","256,646","261,907","272,450","277,348","306,563","337,296","352,050","364,985","405,130","450,532","476,203","487,794","532,874","573,518","577,713","491,310","450,362","444,499","440,359","415,569","415,550","410,037","425,299","460,724","463,721","487,915","482,913","486,549","491,998","498,060","525,738","536,342","539,104","524,929","518,605","536,391","559,735","534,772","562,366","561,731","609,981","606,840","611,265","601,179","566,323","518,252","521,920","523,419","515,833","498,341","496,880","523,128","552,838","536,645"
Petroleum,AR,"148,055","159,835","166,202","172,970","184,126","178,998","194,561","200,031","219,831","237,000","246,630","269,003","311,260","352,744","354,177","341,236","379,963","424,446","421,092","358,872","299,725","289,016","281,576","284,711","263,495","263,729","263,545","263,304","276,538","275,348","265,920","261,975","271,674","284,367","297,298","306,763","308,927","320,440","321,517","350,550","357,586","353,382","356,282","357,343","361,081","358,312","358,679","359,757","354,937","336,157","341,086","337,944","320,561","322,973","328,274","317,534","328,272","326,711"
Petroleum,AZ,"121,344","126,775","135,742","144,241","147,476","145,724","159,220","167,963","188,622","201,360","213,298","221,223","261,095","325,852","325,753","306,751","307,360","351,150","357,372","345,796","301,281","284,450","278,455","289,170","311,927","317,106","334,630","341,954","347,703","352,657","347,239","354,652","365,236","379,251","387,714","407,598","430,032","430,092","468,094","494,547","502,693","514,052","526,176","537,072","558,357","573,763","582,623","571,417","542,166","498,802","499,071","502,271","489,439","494,685","493,698","507,759","531,327","531,908"
Petroleum,CA,"1,836,912","1,892,977","1,879,327","1,915,789","2,027,468","2,089,816","2,219,598","2,251,677","2,403,681","2,458,067","2,502,535","2,655,395","2,734,460","3,048,428","2,872,447","2,976,517","3,244,758","3,611,311","3,654,422","3,733,951","3,477,280","3,210,880","2,874,156","2,979,017","3,213,001","3,125,366","3,186,566","3,319,791","3,515,528","3,567,746","3,505,561","3,254,790","3,245,822","3,155,634","3,304,777","3,313,101","3,380,192","3,292,194","3,315,357","3,423,775","3,571,465","3,585,715","3,704,382","3,520,087","3,670,782","3,741,092","3,786,528","3,795,097","3,553,537","3,409,934","3,360,585","3,299,085","3,188,192","3,228,941","3,237,780","3,364,812","3,471,549","3,534,162"
Petroleum,CO,"161,701","174,643","183,671","189,938","195,500","198,500","212,419","231,730","251,339","263,952","273,380","287,557","311,194","327,648","322,973","326,510","344,788","355,019","375,010","340,605","327,783","301,714","308,533","319,872","325,731","326,922","334,033","333,845","336,407","320,489","326,470","331,410","340,901","364,253","371,844","377,856","391,154","371,516","402,345","412,819","438,600","453,248","434,502","457,424","490,984","489,645","506,709","513,431","486,432","466,512","482,811","460,309","456,932","458,269","472,994","473,438","470,407","480,539"
Petroleum,CT,"362,231","365,569","378,744","380,064","389,732","386,912","412,430","445,943","485,914","526,530","558,983","544,345","605,010","627,116","574,032","533,254","555,426","550,634","563,328","533,199","502,250","436,491","435,008","428,078","466,486","449,592","471,128","465,403","497,770","508,810","439,477","426,380","422,371","398,029","382,203","363,702","402,402","427,410","417,161","442,382","428,736","418,855","382,283","434,313","451,366","443,947","391,609","377,002","339,919","339,142","329,694","315,574","298,888","310,920","310,162","315,057","297,867","298,277"
Petroleum,DC,"59,884","56,135","58,579","60,510","70,175","92,330","93,935","102,383","108,713","120,167","129,410","121,369","116,424","122,451","98,379","75,960","76,714","84,100","80,033","57,506","47,702","40,354","45,763","43,776","47,271","39,526","48,221","43,923","42,714","43,073","37,962","35,739","34,547","36,925","38,150","36,938","35,034","32,573","33,591","33,414","34,442","33,414","33,375","29,777","30,534","28,656","22,535","21,547","18,444","22,491","24,152","22,267","19,396","18,859","20,189","20,733","19,572","16,969"
Petroleum,DE,"123,940","117,413","122,925","128,087","125,502","133,710","135,477","125,888","134,583","145,108","153,982","154,105","174,116","194,427","189,686","174,335","185,462","189,670","181,109","191,828","184,800","138,619","121,917","122,905","129,111","122,989","128,005","131,324","144,931","141,608","139,496","139,102","147,977","147,230","141,387","126,245","142,557","131,417","132,144","136,124","130,824","138,478","134,057","136,588","127,465","135,389","122,657","119,810","112,725","85,953","84,915","101,911","99,255","95,037","96,668","102,496","103,027","102,826"
Petroleum,FL,"611,909","634,303","715,541","735,066","770,772","822,724","843,702","847,255","916,508","974,967","1,065,634","1,168,143","1,328,377","1,431,818","1,347,129","1,378,200","1,477,405","1,502,009","1,580,785","1,629,347","1,650,717","1,624,227","1,416,264","1,417,209","1,318,892","1,324,401","1,503,298","1,469,980","1,579,829","1,574,562","1,567,401","1,545,238","1,567,742","1,615,819","1,667,888","1,596,852","1,605,674","1,654,266","1,837,091","1,837,301","1,907,826","1,941,855","1,892,395","1,931,768","2,095,087","2,130,793","2,018,975","1,938,437","1,717,483","1,578,741","1,675,314","1,572,230","1,498,736","1,525,763","1,544,265","1,624,830","1,620,180","1,633,604"
Petroleum,GA,"301,423","298,313","327,690","343,066","359,649","390,399","413,509","454,111","488,707","520,566","553,586","596,435","653,498","719,582","694,383","655,514","727,308","757,522","754,682","742,459","692,211","652,903","642,879","685,558","728,111","771,709","753,485","791,671","825,122","797,088","815,477","780,556","795,239","872,312","880,083","924,610","977,292","938,363","961,594","1,013,518","1,013,420","1,011,020","1,006,589","1,033,435","1,079,645","1,120,350","1,089,023","1,052,558","946,224","993,795","1,016,588","978,098","888,266","866,212","836,242","881,282","861,772","916,910"
Petroleum,HI,"94,547","113,496","108,072","113,818","122,004","129,295","144,166","162,476","181,142","189,090","195,388","210,390","216,566","222,784","210,553","212,880","218,380","231,980","235,827","255,346","249,539","223,133","203,563","205,190","216,113","232,123","227,619","228,894","268,023","280,097","292,762","266,571","272,480","239,247","257,889","252,252","238,601","230,468","233,508","229,893","235,191","239,817","257,441","269,414","282,864","293,847","295,474","303,540","239,055","239,141","241,805","249,459","240,091","237,539","234,517","238,451","234,880","237,831"
Petroleum,IA,"284,968","276,695","284,716","290,839","291,326","293,900","317,679","331,001","341,249","348,512","346,563","358,258","374,107","395,831","377,015","373,735","410,376","417,143","414,715","425,775","350,023","328,458","339,038","318,754","312,600","313,930","318,227","309,604","317,882","312,206","304,549","304,543","314,515","339,473","353,616","361,136","365,993","362,421","386,346","401,164","395,259","381,227","396,593","375,212","414,787","428,465","435,701","420,924","423,828","417,413","415,146","415,370","394,088","419,160","427,849","418,256","429,268","411,300"
Petroleum,ID,"73,643","77,658","81,066","79,238","84,040","86,807","87,936","104,391","110,706","105,973","105,159","107,407","114,019","117,922","120,239","125,511","130,343","134,913","143,602","135,383","112,680","98,602","96,011","100,634","98,726","101,978","103,914","105,281","108,434","115,788","120,117","120,517","118,730","128,448","132,069","140,739","149,928","146,540","152,565","165,044","167,339","155,395","160,021","140,328","156,496","159,726","165,353","162,468","152,495","144,904","157,611","156,360","152,799","156,792","160,464","174,468","177,514","176,851"
Petroleum,IL,"1,101,969","1,102,481","1,116,454","1,146,719","1,163,221","1,216,922","1,232,038","1,283,202","1,380,821","1,430,597","1,487,160","1,491,335","1,642,384","1,707,354","1,643,496","1,621,647","1,671,086","1,711,734","1,779,961","1,679,342","1,447,866","1,264,078","1,167,292","1,197,343","1,098,184","1,088,921","1,111,357","1,159,731","1,207,204","1,104,564","1,101,003","1,052,333","1,078,468","1,102,832","1,108,660","1,121,251","1,169,912","1,169,735","1,164,470","1,273,008","1,259,616","1,230,341","1,196,049","1,238,292","1,285,139","1,403,414","1,340,467","1,324,077","1,274,262","1,198,901","1,191,853","1,172,738","1,133,759","1,160,281","1,181,966","1,232,507","1,240,075","1,241,881"
Petroleum,IN,"600,655","593,230","603,338","615,254","620,329","647,426","659,189","657,294","701,445","711,119","731,101","769,271","823,822","862,088","851,571","814,685","877,430","910,868","929,585","850,765","742,766","683,466","638,602","636,475","715,014","712,406","758,023","798,618","771,753","792,209","815,938","783,275","779,449","801,174","829,694","808,870","815,036","819,146","816,296","844,706","850,050","801,895","852,562","885,902","865,025","859,731","860,450","834,645","778,521","749,529","742,835","743,680","713,863","753,673","764,660","778,663","757,198","735,599"
Petroleum,KS,"252,417","253,398","264,169","268,945","262,682","276,842","279,358","282,028","300,262","305,110","302,912","306,270","333,077","352,878","354,364","384,086","402,421","408,962","423,333","439,116","372,660","335,099","337,084","344,475","407,423","391,915","390,775","395,580","432,737","411,768","399,100","366,669","382,061","352,596","346,720","353,830","371,416","374,645","377,110","420,488","389,363","377,245","361,909","419,163","412,120","341,906","351,672","402,282","349,719","347,428","355,040","336,914","335,729","345,960","359,597","346,530","345,311","338,152"
Petroleum,KY,"200,419","199,248","222,878","228,153","234,448","255,784","281,670","292,795","319,352","341,218","357,631","360,989","387,962","417,414","408,739","415,496","446,144","478,067","497,715","502,174","481,043","432,910","429,833","449,654","457,857","444,399","450,380","481,870","511,647","527,575","501,555","497,931","528,196","526,612","528,177","540,851","527,252","563,514","580,206","606,779","594,541","627,963","683,158","644,470","703,989","697,645","699,444","690,076","645,708","641,456","634,797","617,999","601,539","569,132","577,365","593,375","607,068","581,243"
Petroleum,LA,"466,937","469,790","489,667","578,993","626,747","637,032","695,295","750,617","820,845","885,800","900,341","922,075","1,040,684","1,192,015","1,258,807","1,205,113","1,378,762","1,605,874","1,676,335","1,875,559","1,859,707","1,843,670","1,680,476","1,560,429","1,459,360","1,426,499","1,523,944","1,502,306","1,587,062","1,572,980","1,611,729","1,646,691","1,735,750","1,759,008","1,865,978","1,819,022","1,955,598","1,929,691","1,850,600","1,972,528","2,166,184","1,965,937","1,986,027","1,954,979","2,065,896","1,975,571","2,127,341","2,130,984","2,193,330","2,044,719","2,096,849","2,075,074","1,925,133","1,905,530","1,854,121","1,905,049","1,878,778","2,003,074"
Petroleum,MA,"804,058","823,920","844,011","810,041","838,538","956,316","969,386","1,042,398","1,084,064","1,134,960","1,240,487","1,251,293","1,307,345","1,309,889","1,161,502","1,124,579","1,215,625","1,195,175","1,171,738","990,909","910,027","849,197","798,283","749,558","803,719","793,263","903,068","866,120","877,092","888,008","806,141","779,969","767,820","741,938","718,173","674,294","676,073","725,016","745,338","715,870","739,514","739,924","711,365","730,803","736,401","737,337","648,398","647,827","621,929","571,714","576,047","566,215","527,178","553,355","546,973","560,970","558,148","553,146"
Petroleum,MD,"353,177","348,191","369,692","373,975","391,581","410,242","432,553","412,949","439,115","465,103","528,914","587,854","650,889","695,256","671,671","593,652","607,311","617,684","627,433","600,818","532,945","496,635","472,074","486,226","517,865","484,616","485,939","516,249","533,782","571,851","505,810","492,584","494,384","517,723","520,692","482,528","502,599","509,621","542,867","568,415","546,998","566,433","544,694","570,714","590,242","603,981","538,678","531,469","507,179","508,919","479,309","460,266","447,906","456,621","459,549","473,513","447,686","442,079"
Petroleum,ME,"152,342","168,340","163,744","168,899","177,055","171,429","180,137","193,495","204,211","216,022","230,972","281,791","304,132","294,332","258,683","222,178","258,409","263,043","244,392","223,074","198,340","194,633","230,398","177,768","207,391","209,101","245,667","234,781","280,038","258,047","247,447","236,445","232,092","239,297","253,439","243,867","251,711","256,438","253,121","266,171","259,350","227,875","230,101","265,720","260,353","263,938","235,253","233,431","201,971","202,981","193,911","191,570","172,903","185,400","188,574","197,397","190,822","185,652"
Petroleum,MI,"713,352","715,745","739,170","752,116","762,674","791,646","824,626","845,652","899,703","941,717","955,898","991,998","1,074,861","1,122,745","1,082,014","1,076,579","1,143,534","1,170,987","1,215,137","1,038,344","906,659","817,824","745,764","747,226","782,143","812,411","848,190","879,671","911,829","911,714","871,782","873,873","876,843","903,733","904,323","927,445","949,317","978,548","982,332","1,034,821","991,862","980,720","992,007","968,414","979,694","978,894","926,618","919,768","836,361","804,837","787,563","767,044","752,540","808,777","825,017","836,040","852,516","847,317"
Petroleum,MN,"381,283","374,735","391,131","397,851","401,486","424,101","450,411","433,071","471,719","498,747","512,466","527,837","583,054","602,583","575,569","556,785","599,225","584,823","601,144","567,901","498,349","450,175","467,279","460,833","488,996","481,704","494,237","487,282","501,511","503,752","502,903","509,447","538,597","547,209","565,003","585,943","621,533","614,840","613,318","641,002","657,500","652,093","650,633","671,245","688,025","700,917","680,945","678,958","643,535","594,701","593,978","589,138","592,973","586,188","588,171","576,218","596,967","581,861"
Petroleum,MO,"403,574","403,064","420,475","430,599","437,130","461,941","476,235","494,891","544,102","561,646","571,688","584,900","612,120","632,136","610,794","613,301","644,310","667,599","694,616","658,767","560,667","535,243","543,957","526,714","537,151","548,611","561,794","583,414","607,354","603,202","586,562","580,164","600,605","620,426","652,393","670,662","701,147","696,979","744,664","769,363","674,357","722,516","723,507","739,036","744,126","741,961","736,536","730,638","675,205","645,993","635,222","617,070","594,169","598,941","614,145","620,759","614,699","603,795"
Petroleum,MS,"142,266","142,103","155,263","173,232","180,787","174,275","185,309","207,865","234,518","253,123","272,674","288,999","330,721","370,581","378,835","377,776","420,661","477,480","511,668","451,900","382,612","352,407","314,441","308,251","311,980","315,257","335,829","349,660","380,731","365,367","374,048","384,670","399,471","422,266","401,065","394,455","417,839","432,969","461,773","472,228","455,825","479,661","428,283","480,507","480,422","455,899","469,598","460,954","422,379","400,328","405,597","399,483","407,068","416,849","427,772","434,536","481,471","494,323"
Petroleum,MT,"106,971","116,813","120,089","121,231","123,327","110,675","118,225","111,571","124,354","129,121","126,169","133,161","146,327","156,521","158,426","154,673","166,959","163,936","172,332","186,730","163,682","143,907","130,099","148,093","140,833","151,737","133,303","133,216","135,516","143,576","142,439","135,154","139,897","149,526","148,716","155,992","166,438","160,519","159,543","173,185","165,428","156,398","161,571","157,136","176,136","182,921","194,283","206,442","192,417","182,766","170,866","177,567","173,019","174,118","169,986","166,933","167,365","172,467"
Petroleum,NC,"418,929","441,038","462,642","467,240","473,652","494,612","535,629","547,089","565,296","588,078","618,277","647,225","708,734","727,331","685,130","636,312","706,387","754,860","743,733","735,741","658,887","611,184","600,316","638,834","705,548","694,797","730,781","761,413","799,693","745,095","715,480","705,946","734,150","759,709","769,268","815,328","852,728","858,408","868,642","863,324","906,487","900,456","876,330","900,018","930,984","947,056","918,121","920,732","883,566","800,292","814,983","772,766","754,708","797,078","806,720","801,572","816,922","818,326"
Petroleum,ND,"101,649","96,651","104,594","110,136","109,579","106,897","112,532","116,513","122,200","119,620","115,352","119,462","120,172","120,862","117,592","116,903","116,538","115,140","120,575","136,221","126,840","126,589","122,775","124,191","122,464","118,168","118,999","116,746","115,240","118,036","112,054","113,247","117,579","115,068","116,351","113,693","118,582","119,917","112,773","123,412","119,333","137,162","123,512","121,722","133,016","136,531","136,542","139,972","137,092","128,059","148,795","186,706","201,857","225,901","239,517","196,228","167,235","185,890"
Petroleum,NE,"136,000","138,374","141,446","151,176","147,140","140,541","151,343","158,852","177,862","182,782","192,242","195,489","211,472","214,162","210,070","208,267","229,551","231,193","246,421","224,645","189,490","176,315","184,673","195,549","187,410","189,263","191,720","200,556","215,764","206,709","205,026","200,522","203,315","199,079","206,553","209,703","232,216","230,493","243,768","246,043","221,604","215,468","222,228","229,099","233,553","228,762","228,780","229,195","219,571","216,822","242,465","231,956","233,947","234,281","237,358","236,622","238,344","238,199"
Petroleum,NH,"83,382","88,309","94,812","98,991","97,142","96,289","108,409","112,063","116,297","129,831","139,870","149,111","153,180","150,480","139,001","137,438","159,996","158,532","158,511","137,488","133,609","122,799","114,853","112,789","134,577","129,981","156,111","166,118","167,452","173,652","159,032","146,347","146,937","147,279","151,807","150,696","155,699","159,259","168,062","173,701","168,959","166,694","176,568","200,220","205,481","190,420","167,795","165,020","160,994","154,217","146,411","146,238","136,104","142,687","153,073","151,471","145,969","153,149"
Petroleum,NJ,"955,611","969,056","1,039,261","1,062,840","1,079,414","1,072,225","1,152,190","1,252,470","1,311,960","1,372,768","1,439,875","1,417,667","1,551,304","1,578,425","1,414,664","1,269,139","1,348,518","1,365,149","1,361,982","1,317,117","1,249,507","1,159,200","1,191,430","1,177,466","1,271,714","1,191,379","1,272,286","1,273,285","1,259,554","1,258,947","1,127,887","1,125,667","1,123,664","1,089,682","1,169,163","1,146,903","1,120,749","1,134,515","1,114,078","1,159,974","1,190,347","1,193,427","1,178,970","1,146,359","1,164,799","1,225,835","1,175,190","1,241,757","1,216,492","1,031,277","1,042,806","1,080,896","961,928","976,677","979,488","993,405","966,942","907,271"
Petroleum,NM,"106,623","107,071","114,724","117,912","125,717","127,993","126,340","125,949","143,512","147,150","155,743","157,066","173,727","191,733","193,141","199,475","202,452","212,605","215,103","214,617","201,366","213,772","187,749","208,526","202,016","188,716","188,641","197,109","198,678","199,118","210,758","226,518","231,443","232,189","221,276","204,586","206,197","217,240","228,647","238,816","231,369","238,316","243,128","248,457","255,866","254,624","268,257","277,635","241,949","227,237","224,550","232,394","232,862","233,014","241,538","239,611","238,241","251,640"
Petroleum,NV,"54,380","62,004","67,559","71,529","75,647","69,877","72,019","75,859","84,601","87,394","90,440","96,024","103,141","110,673","109,083","115,914","115,566","127,198","149,414","138,630","147,127","130,637","128,355","138,721","135,708","135,732","141,930","153,921","166,087","175,143","168,907","174,349","178,800","190,337","200,260","206,975","224,190","214,249","220,582","225,010","233,204","247,451","234,506","239,284","260,161","275,627","291,217","285,879","259,144","237,569","230,850","212,489","215,565","223,811","230,595","221,854","244,923","256,725"
Petroleum,NY,"1,700,047","1,817,656","1,883,701","1,902,730","1,888,516","2,109,451","2,220,867","2,354,677","2,416,843","2,530,375","2,647,016","2,745,083","2,847,192","2,926,764","2,662,440","2,575,898","2,746,055","2,762,674","2,737,616","2,382,107","2,135,731","1,909,639","1,775,955","1,606,417","1,577,749","1,676,368","1,793,211","1,853,579","1,901,048","1,868,573","1,785,597","1,667,903","1,573,605","1,559,483","1,493,381","1,441,869","1,510,247","1,462,905","1,498,639","1,522,476","1,604,698","1,625,732","1,560,207","1,760,002","1,823,746","1,807,239","1,556,773","1,562,784","1,480,358","1,387,416","1,339,870","1,246,392","1,257,758","1,242,939","1,297,509","1,299,897","1,309,305","1,290,569"
Petroleum,OH,"796,707","770,467","805,616","821,093","858,117","917,461","940,071","949,735","1,023,914","1,052,349","1,071,430","1,071,726","1,151,713","1,208,961","1,182,948","1,200,334","1,287,362","1,350,669","1,369,852","1,384,084","1,301,153","1,199,908","1,124,585","1,104,882","1,096,264","1,078,973","1,067,822","1,114,991","1,102,825","1,138,457","1,087,841","1,054,525","1,095,319","1,100,196","1,115,705","1,116,216","1,186,247","1,213,463","1,200,238","1,269,430","1,251,551","1,257,823","1,270,998","1,303,901","1,303,260","1,280,172","1,289,366","1,284,301","1,232,449","1,127,051","1,136,211","1,116,354","1,094,809","1,111,136","1,112,626","1,129,704","1,125,513","1,111,223"
Petroleum,OK,"254,680","257,686","273,079","283,258","286,214","294,406","303,667","313,611","337,999","346,039","365,166","369,703","395,038","414,787","408,315","421,722","439,476","457,902","482,959","465,726","442,550","435,481","443,116","461,895","456,031","458,247","412,111","412,384","427,135","436,023","430,559","433,239","468,171","457,287","467,102","434,518","461,885","457,820","465,618","491,891","511,661","581,673","549,321","545,461","526,834","557,797","583,533","563,473","540,101","506,114","527,559","521,179","527,154","518,206","542,979","534,478","537,006","555,215"
Petroleum,OR,"212,447","218,420","228,614","235,270","249,225","248,291","262,945","262,509","281,035","293,361","294,478","311,295","340,285","344,095","318,409","306,615","312,312","338,296","360,125","363,933","334,332","333,667","341,618","308,401","321,691","317,849","324,839","332,885","355,757","352,981","346,180","359,850","369,828","360,397","366,782","358,795","361,561","358,191","385,362","393,569","378,765","352,498","366,296","358,058","368,456","374,572","381,213","374,647","356,012","349,561","341,922","333,062","325,535","324,301","328,282","325,215","331,462","335,095"
Petroleum,PA,"1,120,870","1,100,989","1,146,054","1,174,614","1,193,781","1,245,912","1,284,932","1,308,614","1,377,524","1,448,627","1,528,940","1,558,163","1,650,519","1,655,536","1,602,646","1,469,329","1,623,254","1,716,994","1,713,648","1,621,351","1,436,379","1,297,668","1,191,619","1,227,111","1,276,013","1,223,123","1,281,549","1,340,493","1,361,537","1,363,180","1,311,090","1,266,691","1,283,797","1,314,251","1,345,845","1,310,049","1,297,896","1,312,478","1,348,264","1,343,271","1,407,638","1,431,355","1,403,563","1,446,911","1,475,233","1,498,536","1,430,279","1,402,752","1,380,331","1,248,182","1,241,328","1,190,823","1,140,361","1,160,299","1,184,892","1,168,515","1,145,206","1,201,071"
Petroleum,RI,"153,624","136,939","142,184","140,204","135,069","127,459","127,158","147,508","149,482","161,192","167,131","173,903","173,492","165,859","147,937","136,846","140,424","143,166","132,150","115,620","102,801","92,461","90,122","92,619","102,311","114,468","120,640","121,161","125,779","112,685","104,515","95,651","104,490","99,496","104,400","98,788","96,751","102,259","96,345","97,394","97,168","99,767","98,079","102,986","98,408","97,180","90,465","87,046","89,555","91,664","88,900","82,847","79,520","83,072","87,722","87,026","75,765","77,047"
Petroleum,SC,"219,200","222,199","241,045","245,215","231,493","224,469","243,173","245,391","267,320","278,432","300,420","313,088","332,011","361,835","353,785","337,376","386,714","418,568","416,663","391,960","351,306","332,406","309,557","324,249","347,955","345,974","351,623","360,750","399,527","381,588","387,626","399,050","387,865","397,231","394,542","401,400","408,506","435,897","452,309","457,386","472,260","481,022","478,674","495,840","569,746","547,413","551,756","533,797","502,602","513,748","494,862","478,030","464,931","483,042","480,250","512,170","523,009","529,222"
Petroleum,SD,"86,178","87,074","90,393","94,732","94,639","89,989","93,476","92,614","97,836","97,755","103,787","106,581","111,604","110,634","102,368","103,528","103,359","104,619","110,390","118,250","101,874","92,817","97,585","92,479","93,209","96,235","99,566","102,956","104,269","108,171","108,392","97,389","103,259","106,331","109,047","110,090","115,363","111,749","110,149","113,682","115,982","110,286","117,665","112,417","113,059","118,214","116,224","117,482","112,732","115,423","114,303","113,017","118,144","113,469","115,736","116,485","115,027","112,136"
Petroleum,TN,"228,239","236,525","253,947","263,331","273,631","291,325","325,849","332,976","360,748","383,337","389,234","402,895","444,471","485,933","470,394","492,805","551,645","582,671","610,104","566,792","501,001","492,503","483,674","477,721","519,409","536,800","551,741","544,135","551,907","567,114","553,207","526,118","561,444","572,761","592,881","617,783","634,454","637,049","671,267","688,943","697,006","710,393","737,577","755,961","765,424","782,703","785,896","773,597","714,765","657,009","681,647","677,698","650,776","658,642","675,135","690,658","711,436","715,458"
Petroleum,TX,"1,536,057","1,555,772","1,633,869","1,812,971","1,933,568","1,963,246","2,078,723","2,175,645","2,346,123","2,540,573","2,610,292","2,672,581","2,995,419","3,295,589","3,312,660","3,220,686","3,481,271","3,885,371","4,145,601","4,561,419","4,452,073","4,267,720","4,020,489","3,995,613","4,198,364","4,191,428","4,323,366","4,370,450","4,620,740","4,651,246","4,758,496","4,782,851","4,986,280","4,927,256","5,149,512","5,121,472","5,497,675","5,863,047","5,934,436","5,842,281","5,767,121","5,773,604","5,924,903","5,978,967","6,161,669","5,987,815","6,086,196","5,917,140","5,245,208","5,065,515","5,472,213","5,458,850","5,602,761","5,947,064","5,937,608","6,180,628","6,324,218","6,513,162"
Petroleum,UT,"127,551","126,702","136,636","136,195","136,680","142,231","154,284","151,592","161,346","170,147","165,826","179,959","186,443","190,457","199,781","203,889","207,169","211,890","216,782","213,386","200,325","168,355","166,643","176,813","176,034","174,052","188,163","192,227","196,678","190,141","193,227","205,358","201,745","205,702","210,443","227,890","242,234","245,399","250,190","256,387","267,708","260,345","258,213","276,298","277,475","287,599","310,505","299,418","279,173","264,936","263,973","283,430","276,213","284,953","281,663","283,824","293,259","298,446"
Petroleum,VA,"442,254","429,518","441,746","468,650","479,118","513,562","533,921","555,985","585,128","660,544","745,710","811,980","860,821","884,314","853,442","824,369","856,635","900,885","878,353","886,409","737,949","648,378","604,004","627,925","672,067","683,369","741,433","774,880","803,072","788,354","752,480","731,252","724,875","741,831","754,018","750,734","767,473","799,733","811,633","827,413","869,435","888,633","855,088","934,350","995,785","998,762","958,756","958,752","870,324","812,128","804,944","761,356","787,551","787,605","785,915","773,352","765,889","757,995"
Petroleum,VT,"46,623","50,463","52,473","52,519","49,575","58,909","64,284","63,731","67,645","69,754","73,893","73,664","77,415","78,922","69,940","68,977","78,973","77,992","78,180","71,419","61,631","58,643","53,063","57,921","65,699","68,469","69,182","75,708","78,546","77,571","72,019","77,556","81,981","81,392","80,554","80,434","84,587","86,534","83,046","83,770","88,067","89,212","84,489","87,073","95,317","90,539","88,725","86,757","77,454","84,531","81,883","80,378","75,817","79,306","80,232","82,631","78,712","78,269"
Petroleum,WA,"356,807","363,073","373,247","379,869","393,136","405,793","432,260","447,725","498,738","516,487","506,713","520,422","555,922","572,821","539,132","548,878","558,392","600,518","621,666","621,007","594,767","600,871","582,011","523,972","598,967","607,438","675,941","701,381","735,378","761,470","763,170","761,591","847,703","759,003","794,789","815,156","820,381","822,643","822,396","848,406","835,014","768,387","736,282","723,154","749,526","768,653","795,563","820,408","766,791","733,818","727,162","714,937","736,414","712,379","698,207","751,117","823,230","795,097"
